date;event_type;fission_time;fusion_time;focus_group;group_A;group_B;group_C;direction;comments
2023-01-30;fission;12:26;;full group (16);Meir, Peron, Torrijos, Obama, Zelenskyy, Truss, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Gillard, Gandhi;Ardern;;A <- B;
2023-01-30;fission;12:34;;sub group (15);Meir, Peron, Obama, Zelenskyy, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Gillard, Gandhi;Torrijos, Truss;;A <- B;
2023-01-30;fusion;;12:38;sub group (14);Meir, Peron, Obama, Zelenskyy, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Gillard, Gandhi;Ardern;;B -> A;
2023-01-30;fusion;;12:42;sub group (15);Meir, Peron, Obama, Zelenskyy, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Gillard, Gandhi, Ardern;Torrijos;;B -> A;
2023-01-30;fusion;;12:46;full group (16);Meir, Peron, Obama, Zelenskyy, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Gillard, Gandhi, Ardern, Torrijos;Truss;;B -> A;
2023-01-30;fission;12:55;;full group (16);Ardern, Gillard, Truss, Cleopatra, Obama, Torrijos, Meir, Gandhi;Moscoso, Zelenskyy, May, Khan, Merkel, Mujica, Castro, Peron; ;A <=> B;
2023-01-30;fission;12:59;;sub group (8);Moscoso, Zelenskyy, May, Khan, Merkel, Castro, Peron;Mujica;;B <- A;
2023-01-30;fusion;;13:00;sub group (8);Mujica;Ardern, Gillard, Truss, Cleopatra, Obama, Torrijos, Meir, Gandhi; ;A -> B;
2023-01-30;fission;13:04;;sub group (7);Moscoso, May, Khan, Merkel, Castro, Peron;Zelenskyy;;B <- A;
2023-01-30;fusion;;13:07;sub group (9);Ardern, Gillard, Truss, Cleopatra, Obama, Torrijos, Meir, Gandhi, Mujica;Zelenskyy;;B -> A;
2023-01-30;fission;13:10;;sub group (10);Mujica, Meir, Truss, Gillard, Torrijos, Obama;Zelenskyy, Cleopatra, Ardern, Gandhi; ;A <- B;sub groups are quite close together - maybe 30m
2023-01-30;fusion;;13:14;full group (16);Moscoso, May, Khan, Merkel, Castro, Peron;Mujica, Meir, Truss, Gillard, Torrijos, Obama;Zelenskyy, Cleopatra, Ardern, Gandhi;A == B==C;
2023-01-31;fission;before start;;full group (16);Gandhi, Mujica, Cleopatra, Ardern, Obama;Torrijos, Gillard, Zelenskyy, May, Khan, Meir, Truss;Merkel, Castro, Peron, Moscoso; ;
2023-01-31;fusion;;12:16;sub group (11);Merkel, Castro, Peron, Moscoso;Torrijos, Gillard, Zelenskyy, May, Khan, Meir, Truss; ;A -> B;
2023-01-31;fission;12:19;;sub group (11);Merkel, Castro, Peron, Moscoso;Torrijos, Gillard, Zelenskyy, May, Khan, Meir, Truss; ;A <=> B;
2023-01-31;fusion;;12:34;sub group (5);Gandhi, Mujica, Cleopatra, Ardern, Obama;Sam, Kenyatta;;B -> A;
2023-01-31;fission;12:40;;sub group (6);Kenyatta;Gandhi, Mujica, Cleopatra, Ardern, Obama, Sam; ;A <- B;
2023-01-31;fusion;;12:44;sub group (4);Kenyatta;Merkel, Castro, Peron, Moscoso;;A -> B;
2023-01-31;fission;12:48;;sub group (5);Gandhi, Mujica, Cleopatra, Ardern, Obama;Sam;;A <- B;
2023-01-31;fusion;;12:49;sub group (9);Gandhi, Mujica, Cleopatra, Ardern, Obama;Merkel, Castro, Peron, Moscoso, Kenyatta; ;A -> B;
2023-01-31;fusion;;12:54;sub group (9);Gandhi, Mujica, Cleopatra, Ardern, Obama, Merkel, Castro, Peron, Moscoso, Kenyatta;Lula; ;B -> A;
2023-01-31;fission;13:15;;sub group (9);Gandhi, Mujica, Cleopatra, Ardern, Obama, Merkel, Castro, Peron, Moscoso, Kenyatta;Lula;;B <- A;
2023-01-31;fission;13:32; ;sub group (9);Gandhi, Mujica, Cleopatra, Ardern, Obama, Merkel, Castro, Peron, Moscoso;Kenyatta;;A <- B;
2023-01-31;fission;13:42;;sub group (9);Gandhi, Mujica, Cleopatra, Obama, Merkel, Castro, Peron, Moscoso;Ardern;;A <=> B;
2023-01-31;fusion;;13:59;sub group (7);Torrijos, Gillard, Zelenskyy, May, Khan, Meir, Truss;Gendry;;A -> B;
2023-02-01;fission;before start;;full group (16);Meir, Torrijos, Truss;Peron, Obama, Zelenskyy, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Gillard, Gandhi, Ardern, Gendry; ; ;
2023-02-01;fission;11:42;;sub group (13);Peron, Obama, Zelenskyy, Mujica, Cleopatra, Castro, Moscoso, May, Merkel, Khan, Gillard, Gandhi, Ardern;Gendry;;B <- A;
2023-02-01;fusion;;11:18;sub group (3);Meir, Torrijos, Truss;Kenyatta;Sam;A + B -> C;
2023-02-01;fission;11:24;;sub group (3);Meir, Torrijos, Truss, Sam;Kenyatta;;B <- A;
2023-02-01;fusion;;11:47;sub group (3);Meir, Torrijos, Truss, Sam;Kenyatta;;B -> A;
2023-02-01;fission;11:52;;sub group (3);Meir, Torrijos, Truss, Kenyatta;Sam;;B <- A;
2023-02-01;fission;12:01;;sub group (3);Meir, Torrijos, Truss;Kenyatta;;B <- A;
